age,experience,income
50,5,45118
36,9,41691
29,3,35994
42,5,41614
40,12,51474
44,14,57092
32,1,31661
32,9,42378
45,11,50099
57,1,35800
45,9,49959
24,13,48575
43,3,37504
23,13,47998
45,14,53954
51,14,56945
59,7,51047
23,13,44204
42,6,41331
54,11,55691
33,8,41673
43,13,50970
46,7,46356
48,4,42981
49,12,52390
37,1,33440
36,14,49828
24,4,30702
58,7,49393
28,9,39770
42,8,46088
30,11,42706
39,11,50334
25,11,46977
46,12,50284
35,8,40363
30,12,46790
47,14,52663
23,12,47016
41,0,33491
49,8,45457
28,6,36078
29,8,40942
56,7,48936
35,0,28559
38,11,50179
57,7,46322
25,7,38314
23,14,48057
27,10,46015
